preferred_study_level,phd_supervisor,supervisor_approval,intended_study_area,preferred_dest_1,preferred_dest_2,preferred_dest_3,study_plan,uni_contacted,application_process,current_status,work_experience,birth_year,passport,academic_backlogs,number_of_backlogs,budget,funding_source,parents_occupation,english_test_taken,english_test_name,english_test_score,family_abroad,other_consultants,lead_converted_flag
Undergraduate,No,No,Other,New Zealand,New Zealand,New Zealand,01-2021,No,No,Student,0,1997,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,5.5,Yes,No,0
Undergraduate,No,No,Other,New Zealand,New Zealand,New Zealand,01-2021,No,No,Student,0,1997,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,5.5,Yes,No,0
Doctorate,Yes,Yes,Other,UK,UK,UK,01-2021,Yes,No,Working professional,4-6,0,Yes,No,0,20-30,Bank loan,Own business,Yes,IELTS,8.0,No,Not in touch with any other consultancy,1
Undergraduate,No,No,Engineering,Australia,Canada,New Zealand,09-2021,No,No,Student,0,2002,No,No,0,<10,Other,Own business,No,Not Taken,0.0,Yes,Did not contact to any other consultant ,0
Vocational,No,No,Other,New Zealand,Ireland,Canada,01-2021,No,No,Student,0,1986,Yes,No,0,10-20,Bank loan,Own business,Yes,IELTS,6.5,Yes,No,0
Vocational,No,No,Engineering,Australia,Canada,UK,01-2021,No,No,Student,0,1998,Yes,No,0,<10,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No one,0
Postgraduate,No,No,Engineering,Australia,USA,Australia,01-2021,No,No,Student,0,2000,Yes,No,0,<10,Self funding,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Australia,Canada,USA,01-2021,No,No,Working professional,7+,1985,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Canada,USA,Australia,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No one yet.,0
Vocational,No,No,Other,Australia,Australia,Australia,01-2021,No,No,Working professional,7+,1993,Yes,Yes,<5,<10,Bank loan,In-Service,Yes,Other,6.0,Yes,No,0
Undergraduate,No,No,Other,Canada,Canada,Canada,01-2021,Yes,No,Student,0,2003,No,No,0,20-30,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,UK,Canada,01-2021,Yes,No,Student,0,2001,No,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Canada,Canada,Canada,01-2021,No,No,Working professional,<1,1997,Yes,Yes,<5,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Canada,Canada,Canada,09-2021,Yes,No,Student,0,1999,No,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,Yes,Did not contact ,0
Postgraduate,No,No,Other,Australia,UK,USA,01-2021,No,No,Student,0,1994,Yes,No,0,Not provided,Sponsorship by relatives,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Media & Communications,Canada,Canada,Canada,01-2021,No,No,Student,0,2002,No,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,UK,USA,01-2021,No,No,Working professional,<1,1995,Yes,Yes,6,Not provided,Not provided,Own business,No,Not Taken,0.0,No,no ,0
Postgraduate,No,No,Business & Economics,Canada,New Zealand,Australia,01-2021,No,No,Working professional,<1,1996,No,No,0,10-20,Not provided,Own business,No,Not Taken,0.0,Yes,"No , did not contact ",0
