What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Undergraduate,,,Other,New Zealand,New Zealand,New Zealand,01-01-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,5.5,Yes,Not in touch with any other consultant,0
Undergraduate,,,Other,New Zealand,New Zealand,New Zealand,01-01-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,5.5,Yes,Not in touch with any other consultant,0
Doctorate,Yes,Yes,Other,UK,UK,UK,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,3.02,Yes,No,,20 - 30 lakhs,Bank loan,Own business,Yes,IELTS,8,No,Not in touch with any other consultancy,1
Undergraduate,,,Engineering,Australia,Canada,New Zealand,01.09.2021,No,,Student,,19042002,No,No,,10 lakhs or under,Other,Own business,No,,,Yes,Did not contact to any other consultant ,0
Vocational,,,Other,New Zealand,Ireland,Canada,01-01-21,No,,Student,,1986,Yes,No,,10 - 20 lakhs,Bank loan,Own business,Yes,IELTS,6.5,Yes,Not in touch with anyone,0
Vocational,,,Engineering,Australia,Canada,UK,01-01-21,No,,Student,,1998,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,Own business,No,,,No,No one,0
Postgraduate,,,Engineering,Australia,USA,Australia,01-09-21,No,,Student,,2000,Yes,No,,10 lakhs or under,Self funding,In-Service,No,,,Yes,Not in touch with anyone,0
Postgraduate,,,Other,Australia,Canada,USA,01-01-21,No,,Working professional,7+ years of work exp,1985,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,USA,Australia,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,No,No one yet.,0
Vocational,,,Other,Australia,Australia,Australia,01-01-21,No,,Working professional,7+ years of work exp,1993,Yes,Yes,< 5 ,10 lakhs or under,Bank loan,In-Service,Yes,Other,6,Yes,NA,0
Undergraduate,,,Other,Canada,Canada,Canada,01-09-21,Yes,No,Student,,2003,No,No,,20 - 30 lakhs,Bank loan,Own business,No,,,No,Not in touch with anyone.,0
Postgraduate,,,Engineering,Canada,UK,Canada,01-09-21,Yes,No,Student,,2001,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,Not in touch with any other consultant,0
Postgraduate,,,Other,Canada,Canada,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1997,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,Not in touch with anyone,0
Postgraduate,,,Other,Canada,Canada,Canada,01.09.2021,Yes,No,Student,,8121999,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,Did not contact ,0
Postgraduate,,,Other,Australia,UK,USA,01-01-21,No,,Student,,1994,Yes,No,,Not provided,Sponsorship by relatives,Own business,No,,,No,None,0
Undergraduate,,,Media & Communications,Canada,Canada,Canada,01-09-21,No,,Student,,2002,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,Not in touch with anyone,0
Postgraduate,,,Engineering,Canada,UK,USA,01-09-21,No,,Working professional,< 1 year of work exp,1995,Yes,Yes,06-Oct,Not provided,Not provided,Own business,No,,,No,no ,0
Postgraduate,,,Business & Economics,Canada,New Zealand,Australia,01.01.2021,No,,Working professional,< 1 year of work exp,10031996,No,No,,10 - 20 lakhs,Not provided,Own business,No,,,Yes,"No , did not contact ",0
Vocational,,,Humanities & Social Sciences,Canada,Australia,Australia,01-01-22,No,,Working professional,1 - 3 years of work exp,1999,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,not in touch,0
Postgraduate,,,Other,Canada,USA,Ireland,01-01-21,No,,Student,,27.11,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,Manya consultants,1
Vocational,,,Other,Canada,New Zealand,Ireland,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,not in touch with anyone,0
Undergraduate,,,Humanities & Social Sciences,Canada,USA,Australia,01.01.2021,No,,Student,,16022002,Yes,No,,Not provided,Not provided,In-Service,No,,,No,No did not contact ,0
